content_id,content,subject,sentiment_value
vUXizsqexyZVRdFH,森林 换代 这套 系统 装在 一款 换代 车型 肯定 影响 价格,价格,0
4QroPd9hNfnCHVt7,四驱 价格 貌似 挺 高 高 看齐 XC60 看实车 前 脸 违和感 大众 车 差,价格,-1
QmqJ2AvM5GplaRyz,斯柯达 要说 质量 大众 一点 价格 低 用料 听说 过野帝 没听说过 说 这车,价格,1
nVIlGd5yMmc37t1o,17 价格 忒 高 估计 14 15,价格,-1
TVciHBPL5XmUxMEd,荣放 2.5     森林 2.5 二选         荣放 底盘 质感 不行       太硬     打开 天窗     公主坟       价格 确实 便宜         少 5W 块,价格,1
4lb9TsO5rjqUy1Bu,这货 价格 死硬 死硬 低配 版 优惠 万 罕有,价格,-1
z98xV7MphZIF4EvO,价格 只能 说 一般般 太仓 前段时间 便宜 ！,价格,0
hoWrMnGTUvdsK3Dm,听过 价格 太贵 念念不忘,价格,-1
JSQUo6kblXYvtc2h,优惠 幅度 不小 北京 优惠 八千,价格,1
7kCF590PjAYqzEL6,优惠 ！ 购进 ！ 买 后悔 ！ 时间 可鉴 ！,价格,1
EXBiRczhIu3paJWb,  价   优惠,价格,0
nQ0bIZtzj6P1Esgd,优惠   送 贴膜 装甲 脚垫   铁西 庞大,价格,0
JvXIqLT8cGDuPEWe,大连 入手 森林 优惠 太小,价格,-1
NXyGEbt0AZ5rHJ3e,山东 威海 全系 优惠 3000 MD,价格,-1
kN0LghcimajxWwH8,下手 豪导 特供 优惠 1.6 万,价格,0
vVoKucJy5pO0jSk2,优惠 8000 送,价格,0
iBFJMqHtTRD5Qo6S,兄弟 2.5 豪导 特供 优惠 1.6 万 下手,价格,0
G8Yr51elsVaXFUZC,恭喜 优惠 明天 提 2.5 特装 优惠 两万,价格,0
10WF8Q53pVfOryvA,车款 优惠 康桥 只能 谈到 优惠 1.5 送 没问 试驾 两次 2.0 时尚,价格,0
VrRd1HcoMNAkvhJy,优惠   送 行程 记录,价格,0
1BYpO9FsgkmWLNQu,平常心 本来 想买傲 虎 优惠 钱 改提 森林 月 提 尊贵 优惠 1.4 w 月 做 活动 森林 全系 2w 傲虎 全系 3w,价格,0
9EFImNb0ywhHBlcR,25.48 优惠 够 力,价格,0
2aNFSuYeZo7B1b9R,兄弟 云南 优惠 挺 全系 万 现傲 虎 全系 优惠 森林 人才 八千,价格,-1
4EK1Nu7X2DTzomRS,湖北 月 订 2.0 蓝色 时尚 优惠 万 送 次 保养 本月底 提车,价格,0
TWPEyNaI5mFgYupn,现金 优惠 点 小东西,价格,0
96A5VQfBgPWUYkul,现金 优惠 点 小东西 先 问问看 有没有 车,价格,0
JXlEzBcKGpI8stdr,最低 优惠 15000 16000,价格,0
P5A3evWb9jUyHMB2,优惠 2000,价格,-1
RJe23jzrhZS4YDf7,遵义 优惠 6000 送 十万 公里 包养,价格,0
zYfd7eDQqKZglLRi,深圳 这破 地方 优惠 5K 说 万,价格,-1
LOCJwcQRnB9D1UWX,优惠 20K   不错,价格,0
SqulQGhIwreFVHYb,本来 谈到 2.5 豪华 优惠 万 想要 10 月份 车 销售 推荐 特装 尊贵 只差 轮毂 很值,价格,1
ACrPWTUvI2BOZHN5,优惠 万 年 延保 两年 交钱,价格,0
YVfZamz38QbrtMGx,套路 送 礼包 保养 实惠 点 现金 优惠 搞 弄 几次 保养,价格,-1
MsCmRYyhIen2GBjZ,特装 确实 不错 配置 实用,配置,1
bhpH5MCV0GorXLud,cd 后视镜 记忆 家 配置 单里 写,配置,-1
KOD82cJZ6CvI0e4R,长城 配置 ！ 性价比 高 ！,配置,1
lkRcwBU9zQbdHeoj,特装 几个 实用 配置 电动 尾门 意义,配置,-1
1WpNIYyxzfmnUlrH,摩雷 听 爱卓 优特 声 听 人声 OK 价格 不算 高 DLS 低频 不用 担心 建议 后门 装 加 低音 前提 ！ 加 好友 聊 配置 方案 ！,配置,1
tlj956MLseiyCTND,山寨 导航 屏幕 背光   换 导航 软件   提不起 兴趣,配置,-1
q8wYIbkWPTmcv7da,原车 卡 打开     显示 文件   拷贝 文件 ini 文件       拷贝到 16G 卡 先 格式化 我用 32G   论坛 下载 凯 立德   拷贝 文件 ini 文件 16G 卡   ini 设为 只读   插入 导航 开机 齐活   !,配置,0
GI4jT7Rvn9JECKVP,个人感觉   改 导航   没什么   手机 2.0 改 中控 彩屏 真心 不错,配置,1
A6NsxYld5Ww9nqZh,手机 导航 更新快     实时 路况,配置,-1
sz5SD8QwktNdIEJx,16 款 斯巴鲁 导航 全是 港装 国产 山寨 导航 分辨率,配置,-1
9nVacW5jLDCH267x,别卖 兄弟 森林 人好 开 保值 买 尊贵 值钱 卖 尊贵 不值钱 导航 不值钱 较少 公里 数 车况 无视 发 票价 第一年 八折 往后 一折 四年 车 剩 折,配置,-1
gyRioxAM0UEkjDus,XT 性价比 不高 太贵 ！ 买 2.5 豪华 导航 版 2.5 低配,配置,-1
rf7K8CHOj6dVJmEI,意见 现车 导航 比不上 手机 好用 音响 改装 花 无用 钱,配置,-1
8qIz60Ch5WbaVmc1,16 款开 导航 一会儿 屏幕 黑,配置,-1
aA6qlSkoHIrts85y,2015 款特装 导航 升级,配置,0
n2pkF0Y6y4VjcBRd,原车 CD 音质 4S 送 导航 拆 换回 CD机 头 简单 实用 ！ 斯巴鲁 精神 ！ 车 开 玩 APP,配置,1
hL8JZfmrwHMDzUsE,垃圾 导航   晓得 退出     听 收音 退到 主 界面 收音 响 换成 USB 切换 USB 退出   先天不足,配置,-1
QPWzrFTepBUuGlx8,导航 死机,配置,0
hUAmRWNtwXyc2BSE,显示 屏幕 支持 蓝光 原装 导航 太 差,配置,-1
Abigh0pODZ6UyMVa,买车 不到 半年 导航 卡死 蓝牙 连不上,配置,-1
SuU1GmxPA03sRt47,貌似 设置 载重 胎压 载 几个 拖 拖车 胎 压用 原车 内置 胎压计 无奈 显示 数值 适配 独立 显示屏 我加 外置 固特异 胎 压计 车上 拆下 显示 数值 总 感觉 安心 一点,配置,0
nCH1RTSBGXU0E3a4,DIY 输入 接口 焊接 汽车音响 线路板 音量 电位器 中线 接点 处和接 点 器材 输入 接口 一只 屏蔽 跳线 跳线 工具 电烙铁 焊锡,配置,0
6ZvDHFNPk9lMSpK2,重启 黑屏 星期,配置,-1
Vb7usnJkHafBIWFG,显示屏 分辨率 惨不忍睹,配置,-1
ZF2XPLNYs41Rhozl,2.5 彩屏 中控 值,配置,1
QZvRJzxCAUIswBrW,兄弟 13 款 森林 想换 4.3 彩屏 CD 请问 按键 USB 支持 格式 音乐 无损 支持,配置,0
QvJn3XNr0FSjzZ5s,玩意 看过 真 鸡肋 倒车 影像 没用,配置,-1
OkMGCaSE1xD4rujm,360 全景 外面 改 效果 装 两个 前 雷达,配置,0
XgO0ixdBwTn6IsF4,昨天 傲虎 ES 官方 视频 发现 雷达 ACC 牛 逼 能加 ！ ！,配置,0
DIlCAMSxFYaWGP3z,年前 优惠 12000   送 一套 前置 雷达,价格,0
V6FHl7vEXCOBcUGa,石桥 款 轮胎 进口 记得 途虎网 提前 预定 森林 这款 车 条件 配 二套 轮胎 日常 石桥 原配 胎 走 长途 自驾 马牌 ccc 系列 不错,配置,0
FsAOim03dS2rBV9G,轮胎 型号 太 挑选 折磨 事,操控,0
k8oZIm9PRGrtsSv2,抗磨性 胎 磨损 没到 老化 厉害 寻思 轮胎 好好 养护 轮胎 老化 前提 抗磨 点,操控,0
IeXnv29Rf3Bm6WKS,换 条 静音 轮胎 正道,舒适性,0
kPLH5G6jy2Rin1ZE,轮胎 调 平衡 纯属 扯蛋 轮胎 动平衡 换位 调 平衡 换位 无所谓 啃 胎 现象,操控,0
hj6R3giB1q9T0t8Y,公里 数多 平衡 块 跑掉 一万 做 动平衡 确实 早 万 换位 做 动平衡 轮胎 少,操控,0
znvfsaNSU6pb43hW,中控 显示 连线 谢谢,配置,0
45uS1g98pkiWRL32,难点 拆中控 方向盘 没什么 几根 针脚 线 游丝 胶布 固定 简单,配置,0
rvMT4zSUmHaXEpWn,好车 不太 喜欢 中控,配置,1
9xSUq3Ovc4eGTZVy,追求 省油 驾驶 习惯 加重 积炭 导致 爆震 建议 定期 积炭 添加剂 ！,油耗,0
lQNsJe87jMUC2AvV,LZ 11.6 油耗 还行 跑 几次 高速 放心,油耗,1
I5VAaUHWlS60mvQL,2.0 2.5 还费油 ！ 2.5 平均 油耗 9.6 开 3000 多公里 市里 跑 北京 堵车 油耗 满意,油耗,1
QhW8lfB4FPYgw7kZ,10 年 车   2.5 排量     86000KM         市区     10 12         高速     油       出保后     外面 保养   价格   300 500     间,油耗,0
3A26BUlaZJeFKNyj,16 款 跑 5000 公里 不到 油耗 7.8   满箱 油全 跑 高速 800 公里 刚换 后视镜 配件 礼拜 唯一 满意 高速 风噪 毛病 宝鸡 车主 留,油耗,0
e6j37BTDEhsOu1Qr,综合 油耗 第一次 买 耗材 修理厂 换 保养 400 元,油耗,0
ho0UXsP8FB5jeDcq,市区 拥堵 油不高     13.4 冬天       34000     油耗 10     不用 纠结     每辆车 用车 情况,油耗,0
St0ly3u25ohRkBLe,92 油品 加 95 97 万公里 从没 省油 动力 充足 加 95 感觉,油耗,1
St0ly3u25ohRkBLe,92 油品 加 95 97 万公里 从没 省油 动力 充足 加 95 感觉,动力,1
HIWjuAReXt83rTCf,小森 2.0 感觉 油门 灵敏 起步 时 稍微 点 油门 窜,动力,1
Y24aOoGZRbJ80E73,cvt 慢半拍 油门 原因 起步 踩 油 cvt 改变 传动比 延迟 四驱 起步 优先 动力 传给 后轮 传动轴 延迟 踩 油 走 条件反射 踩 够 踩 车动 油门 感觉 窜 办法 物理 瓶颈 4s 改不了 试试 踩 油不动 车动 踩 悠着点 开,动力,-1
g76B9i2PSeKq5uy3,车轻 森林 行驶证 车重 1.4 t 多一点 cvt 传动 肯定 比同 级别 省油,油耗,1
EHjWKRp7ZwIJToyO,4AT 一点 省油 ！ 2011 款 2.5 XS 市区 百公里 油耗 13.6 L 高速 110KM H 速度 匀速 跑 百公里 油耗 8.5 L,油耗,-1
GQ7LvDwEXhn9zafb,2014 自豪 2.0 行驶 13000 公里 平均 油耗 10.6 市区 行驶 为啥 车主 说 经济 时速 讲 高 驾驶 技术 习惯 市区 市郊 行驶 最低 10 实事求是,油耗,0
9k7LOMQxrosJqb3z,同款 8200 公里 平均 时速 38 油表 显示 8.8 升 100 千米,油耗,0
