content_id,subject,sentiment_value,sentiment_word
XuPwKCnA2fqNh5vm,价格,0,
2jNbDn85goX3IuPE,价格,0,
hLgEADQ8sUnvGFK9,价格,0,
nZmM7LQsfr03wUaz,价格,0,
pwd8MnrthDqLZafe,价格,0,
cudSKGTyMLbIt8k3,价格,0,
U5RMQtopwFzDVxHm,价格,0,
Kh0ayJjuTrzwPAs1,价格,0,
YZovRtEAyQJgTi1I,价格,0,
BeSIAUzoTWH9muYl,价格,0,
SXYTBWg6FxuboMnd,价格,0,
RDgTmzW9xBfY6pGv,价格,0,
8cMwzsxkL4XtuDG1,价格,0,
MOUrvjDsIJpbw6dQ,价格,0,
t01PVoDSd9Lsy5HN,价格,0,
icMQmPJA9Sv0KGTw,价格,0,
VQkjM1657sIroCf3,价格,0,
1rGSYnOx9Fb2ULQX,价格,0,
SgNFp8ixQX1HA64y,价格,0,
sO6Ac1mThYBKyl4M,价格,0,
qIUiOxGdb0M4PQky,价格,0,
6GMYQa0Ag4o9nsZ2,价格,0,
6Ewe2kxO5msAg0yU,价格,0,
PMeBcRxizIaNmAC7,价格,0,
9x4gvon6TfN0KtqY,价格,0,
Er3x8Ks6mpQqeZO0,价格,0,
f5UhrHg6Zztl7VWj,价格,0,
fYtbApDWqzGmKX8F,价格,0,
YUWFxTOoZCkNzKcu,价格,0,
hNVSLDr06cMsgwfI,价格,0,
aV6A5z8pJRkKIC9r,价格,0,
E9SZbnzR2XW0QiLs,价格,0,
DXhAOZEsTBVWaSRH,价格,0,
6p8glZ2iewsInqK4,价格,0,
AWsymeHLSU1f38tT,价格,0,
l94kJgMBpYoODyzQ,价格,0,
bVeAzdpgX7tFDlPI,价格,0,
lQ0N8fd4On7TzcsD,价格,0,
jhmIcH6LTxkGVE19,价格,0,
68jBJULyWclT9Pir,价格,0,
7prF9LJoixSgPQvM,价格,0,
Q4lp0HBNfTD2xYAv,价格,0,
M3Hqx1Un8ygzFTtl,价格,0,
cIevXAM5FRp14Nni,价格,0,
8jCcfemUlPaQFx67,价格,0,
ZqEa9wGAXNCDRoph,价格,0,
SHbyJ2RM9oi4ZtdD,价格,0,
vNgGz3Kfj1qCe92E,价格,0,
9eqiWkfr8HNR0xPo,价格,0,
sAtwDdFoc06XgaW9,价格,0,
23EJ8RwY9PcotslQ,价格,0,
oKdBRimU38Gjc9PJ,价格,0,
zsADXh4cYeUjEKSP,价格,0,
Q2LaKeht0Vvo1Rn6,价格,0,
hszDKcUSek9dyP5o,价格,0,
Mb7fevclI1UmTzo3,价格,0,
rgv1ykaC29JoQlcu,价格,0,
EKI7PjFs81Lc52uS,价格,0,
5b2XhIBYPOCfMzcu,价格,0,
n2Fm18vbEDIa53ys,价格,0,
Mq4oVg68SWFBz9i5,价格,0,
7hHUfbrVKp1aAFmN,价格,0,
qvD82LNTpMdsAXIe,价格,0,
sKPpYiV2bXWEjTLc,价格,0,
KaM0rQpCE7yLYgH2,价格,0,
g1qaKmR09LUXcp8B,价格,0,
OKVCfRJ8X9BwxaTv,价格,0,
tcPLeKdDrkYG1394,价格,0,
siYq5vrJBQzkuZPy,价格,0,
aLs9AwhZ85vgiRbx,价格,0,
UneE7iqV6mW5HlgP,价格,0,
8P6E32xNmKAebnOs,价格,0,
j2vcEXIrmkH9qs1J,价格,0,
CshiU6A13rR9dbPS,价格,0,
6JZHOqne2YW01FVz,价格,0,
kFo7T8n6wXICfc3d,价格,0,
4nAlYpJof87Nj1F3,价格,0,
v6iprjTLdctoJW3b,价格,0,
RF9YTAlbQU5CagdN,价格,0,
DYhuU8SPpywX2eN9,价格,0,
Aml1h4xUJt5u6bQ9,价格,0,
hcWAJdmC9avz7MU1,价格,0,
9Jt0O5d3s6wz1lkf,价格,0,
ZgEVkuFc0QNqpsYG,价格,0,
QRw7ngTJ2A5CYBGW,价格,0,
06vPIQBqVNe2dl3f,价格,0,
p0FUwsNPYQKl1HSg,价格,0,
BDoeHPlCiNVXEvrg,价格,0,
ARIng69ZHsY7DCN1,价格,0,
